Date,Close,daily_buy,btc_bought_overlay_exec,btc_overlay_exec,fees_overlay_cum,btc_bought_baseline_exec,btc_baseline_exec,fees_baseline_cum,net_value_overlay,net_value_baseline,ma20,vol20,vol60,drawdown,crash
2014-09-17,457.3340148925781,1.0,0.00218112,0.00218112,0.0015,0.00218112,0.00218112,0.0015,0.9960003665625,0.9960003665625,,,,,False
2014-09-18,424.44000244140625,1.0,0.00235016,0.00453128,0.003,0.00235016,0.00453128,0.003,1.9202564942626956,1.9202564942626956,,,,,False
2014-09-19,394.7959899902344,1.0,0.0025266200000000003,0.007057900000000001,0.0045000000000000005,0.0025266200000000003,0.007057900000000001,0.0045000000000000005,2.7819306177520753,2.7819306177520753,,,,,False
2014-09-20,408.90399169921875,1.0,0.00243945,0.009497350000000002,0.006,0.00243945,0.009497350000000002,0.006,3.8775043255645762,3.8775043255645762,,,,,False
2014-09-21,398.8210144042969,1.0,0.00250112,0.01199847,0.0075,0.00250112,0.01199847,0.0075,4.777741976699524,4.777741976699524,,,,,False
2014-09-22,402.1520080566406,1.0,0.00248041,0.014478880000000001,0.009,0.00248041,0.014478880000000001,0.009,5.813710666411133,5.813710666411133,,,,,False
2014-09-23,435.7909851074219,1.0,0.00228894,0.016767820000000003,0.010499999999999999,0.00228894,0.016767820000000003,0.010499999999999999,7.296764795903932,7.296764795903932,,,,,False
2014-09-24,423.2049865722656,1.0,0.00235701,0.019124830000000002,0.011999999999999999,0.00235701,0.019124830000000002,0.011999999999999999,8.081723423346864,8.081723423346864,,,,,False
2014-09-25,411.5740051269531,1.0,0.00242362,0.021548450000000004,0.013499999999999998,0.00242362,0.021548450000000004,0.013499999999999998,8.855281870777894,8.855281870777894,,,,,False
2014-09-26,404.42498779296875,1.0,0.00246647,0.024014920000000002,0.014999999999999998,0.00246647,0.024014920000000002,0.014999999999999998,9.697233727849122,9.697233727849122,,,,,False
2014-09-27,399.5199890136719,1.0,0.00249675,0.02651167,0.016499999999999997,0.00249675,0.02651167,0.016499999999999997,10.575442107134094,10.575442107134094,,,,,False
2014-09-28,377.1809997558594,1.0,0.00264462,0.02915629,0.018,0.00264462,0.02915629,0.018,10.979198611371764,10.979198611371764,,,,,False
